Ht,theta
0.0,1.7715460600970978
0.0,1.7710415687386392
0.0,1.8033790596323482
0.0,1.7392560662081598
0.0,1.7341121827645738
0.05,0.2682677489126134
0.05,0.2691571769443087
0.05,0.26017498545296674
0.05,0.3219057046529421
0.05,0.2223531693865031
0.0,1.7625964382695654
0.1,0.15745400146070423
0.1,0.23773955951743217
0.1,0.1682472926838791
0.1,0.16751245873429704
0.1,0.17514571471768448
0.15,0.15625880649799517
0.15,0.11512473633073933
0.15,0.1467582722953526
0.15,0.14710297344084
0.15,0.12622577879730754
0.2,0.10384327325996338
0.2,0.11583330841556756
0.2,0.11033805519492856
0.2,0.10878584390215612
0.2,0.1148567230809108
0.25,0.10313625852753121
0.25,0.10219402326290522
0.25,0.09134287426151144
0.25,0.10292098035656742
0.25,0.10142952262621058
0.3,0.0937664327240432
0.3,0.08685779177847548
0.3,0.08789506103320179
0.3,0.09121628611392876
0.3,0.09791086192595462
0.35,0.07514759350934266
0.35,0.09283072295233186
0.35,0.08208543721570251
0.35,0.07297318743483765
0.35,0.0882349814104733
0.4,0.07166358721734752
0.4,0.06881556554294181
0.4,0.07170524359165416
0.4,0.07183872111552542
0.4,0.07530989805697325
0.45,0.07749830668019711
0.45,0.07664090242476064
0.45,0.07622514867032423
0.45,0.07930443630089572
0.45,0.06800195646807403
