P,vdimless,vdim
2.5,0.008932653714094128,843.8205083138138
2.5,0.007780878702588133,735.0184202916769
2.5,0.006984003281852895,659.7418178273235
2.5,0.009126414513102851,862.1240652571282
2.5,0.007589992236383639,716.9863863521144
2.0,0.007881609411324073,744.6230591787402
2.0,0.0064198162970665685,606.5186690955502
2.0,0.005781776143937769,546.2391771913931
2.0,0.0064357484557121146,608.0238759753688
2.0,0.005129213751213472,484.58768194256504
3.5,0.008234850988776672,778.4739961714316
3.5,0.010717230154175037,1013.1434068910842
3.5,0.010143291469044042,958.8866459150514
3.5,0.010470689150994644,989.8368819487955
3.5,0.009164001837820564,866.3104094213003
3.0,0.009741689230697688,921.565646558283
3.0,0.009657839742504538,913.6334690918945
3.0,0.010417707806499829,985.5171318850113
3.0,0.01020029652277984,964.9499832616376
3.0,0.008403454185129234,794.9683577503008
4.5,0.010764551208851567,1016.211506718452
4.5,0.011492461255491427,1084.928776105692
4.5,0.010829121502201555,1022.3071695864485
4.5,0.010482683028281597,989.6021587841449
4.5,0.010540014787235716,995.0144785380495
4.0,0.00883999868707238,833.876777676995
4.0,0.010447999614463693,985.5594508651238
4.0,0.010480112563666318,988.5886642791428
4.0,0.010958221121392036,1033.6886283865076
4.0,0.01088538691137028,1026.8181798143366
5.0,0.010627960768013938,1003.3574872784617
5.0,0.009148439791945021,863.6798500225901
5.0,0.010444707607457625,986.0570441619429
5.0,0.009536348225930713,900.3012527651915
5.0,0.01037057815293683,979.0586796737
