objId,time,fx,fy,fz,Tx,Ty,Tz
0,1.999687,-4027.576172,-4007.196777,1274.050293,25095.386719,-13783.205078,-865402.625000
0,3.999687,-2014.820312,241.377228,77.537201,23109.601562,13541.587891,-905524.000000
0,5.999687,-1539.424316,1993.532959,-211.461166,9887.110352,20295.730469,-914293.625000
0,7.999687,-2548.727051,-3902.352783,44.645973,22365.980469,13616.432617,-913201.937500
0,9.999687,-67.550446,325.763306,992.096313,25570.248047,12593.125000,-912159.375000
0,11.999687,-2107.882324,-1618.342773,691.168213,22850.697266,24414.738281,-920116.500000
0,13.999687,1068.170410,1091.287842,975.677734,-5584.210449,29200.515625,-898636.250000
0,15.999687,-610.648804,-2643.855225,-155.546219,25523.964844,25831.255859,-917962.062500
0,17.999687,3029.520264,-1990.499878,1281.007080,6970.727539,26521.175781,-905197.625000
0,19.999687,-153.904602,-2686.498047,1176.607178,2778.271240,26909.542969,-911590.625000
0,21.999687,1240.915405,-961.170227,574.314270,-6147.025391,24909.755859,-925041.187500
0,23.999687,659.729858,-1162.801514,2263.720703,-20818.298828,19174.378906,-920813.625000
0,25.999687,319.399719,-1203.506348,1222.390259,-21191.609375,19240.912109,-918691.062500
0,27.999687,-39.544842,-411.755890,2024.104980,-17840.265625,23408.035156,-904213.062500
0,29.999687,1075.791626,1825.807861,3163.002197,-17205.085938,29259.910156,-897406.562500
0,31.999687,71.773125,2494.035400,1085.723145,-25460.755859,19919.115234,-891045.125000
0,33.999687,4224.808594,-1419.342285,-103.502655,-25367.835938,-13408.625000,-921539.437500
0,35.999687,2208.992432,934.547485,-186.085663,-21496.042969,-3342.832764,-910693.125000
0,37.999687,-453.792145,1281.686523,-591.445801,-28907.595703,4392.145508,-914105.062500
0,39.999687,2057.306641,2165.917725,-664.314392,-25957.644531,-7254.716309,-914105.812500
